"site","plot","site_plot","PECI_cover","ALL_cover","sample_number","sub_plot","sample_biomass_g_m2","percC","percN","herbcarb_g_m2","herbnit_g_m2"
"RR",3,"RR_03",0,36.23,16,1,136.35,43.87,0.9,59.816745,1.22715
"RR",3,"RR_03",0,36.23,17,2,127.6,43.85,0.97,55.9526,1.23772
"RR",3,"RR_03",0,36.23,18,3,256.95,44.41,1.19,114.111495,3.057705
"RR",3,"RR_03",0,36.23,19,4,235.05,42.39,1.26,99.637695,2.96163
"RR",3,"RR_03",0,36.23,20,5,36.65,42.87,1.95,15.711855,0.714675
"RR",3,"RR_03",0,36.23,21,6,109.1,42.64,1.06,46.52024,1.15646
"RR",3,"RR_03",0,36.23,22,7,113.55,44.56,0.95,50.59788,1.078725
"RR",3,"RR_03",0,36.23,23,8,692.1,42.86,1.23,296.63406,8.51283
"LOLA",6,"LOLA_06",0,45.5,91,2,80.3,45.24,1.68,36.32772,1.34904
"LOLA",6,"LOLA_06",0,45.5,92,4,86.25,46.7,0.89,40.27875,0.767625
"LOLA",6,"LOLA_06",0,45.5,93,5,41.8,49.13,1.18,20.53634,0.49324
"LOLA",6,"LOLA_06",0,45.5,94,6,37.65,46.82,1.47,17.62773,0.553455
"RR",6,"RR_06",0.47,63.27,40,1,4.35,46.07,0.63,2.004045,0.027405
"RR",6,"RR_06",0.47,63.27,41,2,1.25,44.26,1.54,0.55325,0.01925
"RR",6,"RR_06",0.47,63.27,42,3,396.35,45.79,1.32,181.488665,5.23182
"RR",6,"RR_06",0.47,63.27,43,4,92.4,43.71,2.62,40.38804,2.42088
"RR",6,"RR_06",0.47,63.27,44,5,249.2,46.38,1.17,115.57896,2.91564
"RR",6,"RR_06",0.47,63.27,45,6,223.35,47.02,1.65,105.01917,3.685275
"RR",6,"RR_06",0.47,63.27,46,7,89.25,44.9,1.56,40.07325,1.3923
"RR",6,"RR_06",0.47,63.27,47,8,8.9,45.36,0.97,4.03704,0.08633
"LOLA",2,"LOLA_02",7.1,50.2,64,2,76.1,44.36,1.3,33.75796,0.9893
"LOLA",2,"LOLA_02",7.1,50.2,65,3,358.5,43.89,0.96,157.34565,3.4416
"LOLA",2,"LOLA_02",7.1,50.2,66,4,54.7,46.48,0.96,25.42456,0.52512
"LOLA",2,"LOLA_02",7.1,50.2,67,5,89.1,46.82,1.64,41.71662,1.46124
"LOLA",2,"LOLA_02",7.1,50.2,68,6,4.7,46.14,0.75,2.16858,0.03525
"LOLA",2,"LOLA_02",7.1,50.2,69,7,35.8,45.82,1.03,16.40356,0.36874
"LOLA",2,"LOLA_02",7.1,50.2,70,8,61.85,46.44,0.84,28.72314,0.51954
"RR",1,"RR_01",11.48,39.02,1,1,232.25,45.9,1.17,106.60275,2.717325
"RR",1,"RR_01",11.48,39.02,2,2,452.25,43.34,1.36,196.00515,6.1506
"RR",1,"RR_01",11.48,39.02,3,3,347.15,42.64,1.32,148.02476,4.58238
"RR",1,"RR_01",11.48,39.02,4,4,37.75,41.99,2.79,15.851225,1.053225
"RR",1,"RR_01",11.48,39.02,5,5,272,44.96,1.47,122.2912,3.9984
"RR",1,"RR_01",11.48,39.02,6,6,86.75,40.04,1.3,34.7347,1.12775
"RR",1,"RR_01",11.48,39.02,7,7,66.6,42.1,1.57,28.0386,1.04562
"RR",1,"RR_01",11.48,39.02,8,8,45.5,44.54,0.78,20.2657,0.3549
"RR",5,"RR_05",15.93,40.03,32,1,419.7,46.51,1.84,195.20247,7.72248
"RR",5,"RR_05",15.93,40.03,33,2,170,58.31,1.26,99.127,2.142
"RR",5,"RR_05",15.93,40.03,34,3,347,34.87,0.95,120.9989,3.2965
"RR",5,"RR_05",15.93,40.03,35,4,214.8,50.37,2.21,108.19476,4.74708
"RR",5,"RR_05",15.93,40.03,36,5,65.8,51.95,2.02,34.1831,1.32916
"RR",5,"RR_05",15.93,40.03,37,6,76.5,41.01,1.04,31.37265,0.7956
"RR",5,"RR_05",15.93,40.03,38,7,111.1,46.9,1.85,52.1059,2.05535
"RR",5,"RR_05",15.93,40.03,39,8,77.5,46.31,1.09,35.89025,0.84475
"LOLA",3,"LOLA_03",19.73,25.62,71,1,315.35,44.5,0.99,140.33075,3.121965
"LOLA",3,"LOLA_03",19.73,25.62,72,2,915.65,43.88,1.07,401.78722,9.797455
"LOLA",3,"LOLA_03",19.73,25.62,73,7,45.1,42.77,0.91,19.28927,0.41041
"LOLA",3,"LOLA_03",19.73,25.62,74,8,9.3,46.58,1.76,4.33194,0.16368
"RR",7,"RR_07",20.37,42.38,48,1,183.95,43.81,1.59,80.588495,2.924805
"RR",7,"RR_07",20.37,42.38,49,2,455.85,43.24,0.92,197.10954,4.19382
"RR",7,"RR_07",20.37,42.38,50,3,291.55,47.23,1.48,137.699065,4.31494
"RR",7,"RR_07",20.37,42.38,51,4,13.2,44.89,1.74,5.92548,0.22968
"RR",7,"RR_07",20.37,42.38,52,5,535.95,41.95,1.06,224.831025,5.68107
"RR",7,"RR_07",20.37,42.38,53,6,443.9,43.3,1.2,192.2087,5.3268
"RR",7,"RR_07",20.37,42.38,54,7,16.25,44.44,1.43,7.2215,0.232375
"RR",7,"RR_07",20.37,42.38,55,8,39.8,44.88,1.69,17.86224,0.67262
"LOLA",1,"LOLA_01",22.22,26.58,56,1,59.75,42.05,1.24,25.124875,0.7409
"LOLA",1,"LOLA_01",22.22,26.58,57,2,1093.3,43.08,1.29,470.99364,14.10357
"LOLA",1,"LOLA_01",22.22,26.58,58,3,29.15,45.18,1.47,13.16997,0.428505
"LOLA",1,"LOLA_01",22.22,26.58,59,4,222.35,44.41,1.23,98.745635,2.734905
"LOLA",1,"LOLA_01",22.22,26.58,60,5,9.95,42.52,1.37,4.23074,0.136315
"LOLA",1,"LOLA_01",22.22,26.58,61,6,146.15,45.08,1.64,65.88442,2.39686
"LOLA",1,"LOLA_01",22.22,26.58,62,7,559.1,43.62,1.42,243.87942,7.93922
"LOLA",1,"LOLA_01",22.22,26.58,63,8,440.15,44.85,1.26,197.407275,5.54589
"RR",4,"RR_04",26.68,34.63,24,1,17.25,42.81,1.04,7.384725,0.1794
"RR",4,"RR_04",26.68,34.63,25,2,63.5,45.19,1.64,28.69565,1.0414
"RR",4,"RR_04",26.68,34.63,26,3,21.2,45.23,1.77,9.58876,0.37524
"RR",4,"RR_04",26.68,34.63,27,4,303.5,43.87,1.43,133.14545,4.34005
"RR",4,"RR_04",26.68,34.63,28,5,386.7,43.06,0.89,166.51302,3.44163
"RR",4,"RR_04",26.68,34.63,29,6,368.35,45.21,1.55,166.531035,5.709425
"RR",4,"RR_04",26.68,34.63,30,7,1170.8,45.62,0.87,534.11896,10.18596
"RR",4,"RR_04",26.68,34.63,31,8,94.45,45.03,1.96,42.530835,1.85122
"LOLA",4,"LOLA_04",55.47,8.45,75,1,73.15,45.11,1.67,32.997965,1.221605
"LOLA",4,"LOLA_04",55.47,8.45,76,2,176.85,45.28,0.55,80.07768,0.972675
"LOLA",4,"LOLA_04",55.47,8.45,77,3,1650.3,44.25,0.55,730.25775,9.07665
"LOLA",4,"LOLA_04",55.47,8.45,78,4,1146.95,45.28,0.56,519.33896,6.42292
"LOLA",4,"LOLA_04",55.47,8.45,79,5,984,44.4,0.66,436.896,6.4944
"LOLA",4,"LOLA_04",55.47,8.45,80,6,360.5,44.46,0.74,160.2783,2.6677
"LOLA",4,"LOLA_04",55.47,8.45,81,7,399.5,45.21,0.68,180.61395,2.7166
"LOLA",4,"LOLA_04",55.47,8.45,82,8,616.05,44.23,0.73,272.478915,4.497165
"LOLA",5,"LOLA_05",64.25,7.71,83,1,940.05,45.57,0.98,428.380785,9.21249
"LOLA",5,"LOLA_05",64.25,7.71,84,2,170.85,46.51,1.1,79.462335,1.87935
"LOLA",5,"LOLA_05",64.25,7.71,85,3,1030.15,45.73,0.75,471.087595,7.726125
"LOLA",5,"LOLA_05",64.25,7.71,86,4,236,44.88,0.87,105.9168,2.0532
"LOLA",5,"LOLA_05",64.25,7.71,87,5,1847.25,44.14,0.76,815.37615,14.0391
"LOLA",5,"LOLA_05",64.25,7.71,88,6,424.7,43.4,1.11,184.3198,4.71417
"LOLA",5,"LOLA_05",64.25,7.71,89,7,741.8,45.74,0.57,339.29932,4.22826
"LOLA",5,"LOLA_05",64.25,7.71,90,8,1287.05,44.19,0.61,568.747395,7.851005
"RR",2,"RR_02",67.82,14.18,9,2,1562.8,44.16,0.83,690.13248,12.97124
"RR",2,"RR_02",67.82,14.18,10,3,2262.1,43.43,0.79,982.43003,17.87059
"RR",2,"RR_02",67.82,14.18,11,4,308.95,43.73,1.11,135.103835,3.429345
"RR",2,"RR_02",67.82,14.18,12,5,196.7,40.35,1.03,79.36845,2.02601
"RR",2,"RR_02",67.82,14.18,13,6,811.6,43.8,0.75,355.4808,6.087
"RR",2,"RR_02",67.82,14.18,14,7,48.2,44.85,0.56,21.6177,0.26992
"RR",2,"RR_02",67.82,14.18,15,8,368.15,43.1,1.11,158.67265,4.086465
