sample_number,plot,sub_plot,bag_number,number_of_bags_per_clip,bag_size,empty_bag_weight,total_sample_weight_with_bag,biomass_g
1,RR_01,1,NA,1,small,12.24,58.69,46.45
2,RR_01,2,NA,1,small,12.24,102.69,90.45
3,RR_01,3,NA,1,small,12.24,81.67,69.43
4,RR_01,4,NA,1,small,12.24,19.79,7.55
5,RR_01,5,NA,1,small,12.24,66.64,54.4
6,RR_01,6,NA,1,small,12.24,29.59,17.35
7,RR_01,7,NA,1,small,12.24,25.56,13.32
8,RR_01,8,NA,1,small,12.24,21.34,9.1
9,RR_02,2,NA,1,large,44.86,357.42,312.56
10,RR_02,3,NA,1,large,44.86,497.28,452.42
11,RR_02,4,NA,1,small,12.24,74.03,61.79
12,RR_02,5,NA,1,small,12.24,51.58,39.34
13,RR_02,6,NA,1,large,44.86,207.18,162.32
14,RR_02,7,NA,1,small,12.24,21.88,9.64
15,RR_02,8,NA,1,small,12.24,85.87,73.63
16,RR_03,1,1,2,small,12.24,31.5,19.26
16,RR_03,1,2,2,small,12.24,20.25,8.01
17,RR_03,2,1,2,small,12.24,23.2,10.96
17,RR_03,2,2,2,small,12.24,26.8,14.56
18,RR_03,3,1,2,small,12.24,26.84,14.6
18,RR_03,3,2,2,small,12.24,49.03,36.79
19,RR_03,4,1,2,2small,24.48,45.01,20.53
19,RR_03,4,2,2,small,12.24,38.72,26.48
20,RR_03,5,1,2,small,12.24,14.78,2.54
20,RR_03,5,2,2,small,12.24,17.03,4.79
21,RR_03,6,1,2,small,12.24,20.72,8.48
21,RR_03,6,2,2,small,12.24,25.58,13.34
22,RR_03,7,1,2,small,12.24,26.14,13.9
22,RR_03,7,2,2,small,12.24,21.05,8.81
23,RR_03,8,1,2,small,12.24,65.77,53.53
23,RR_03,8,2,2,small,12.24,97.13,84.89
24,RR_04,1,NA,1,small,12.24,15.69,3.45
25,RR_04,2,NA,1,small,12.24,24.94,12.7
26,RR_04,3,NA,1,small,12.24,16.48,4.24
27,RR_04,4,NA,1,small,12.24,72.94,60.7
28,RR_04,5,NA,1,large,44.86,122.2,77.34
29,RR_04,6,NA,1,small,12.24,85.91,73.67
30,RR_04,7,NA,1,large,44.86,279.02,234.16
31,RR_04,8,NA,1,small,12.24,31.13,18.89
32,RR_05,1,NA,1,large,44.86,128.8,83.94
33,RR_05,2,NA,1,small,12.24,46.24,34
34,RR_05,3,NA,1,small,12.24,81.64,69.4
35,RR_05,4,NA,1,small,12.24,55.2,42.96
36,RR_05,5,NA,1,small,12.24,25.4,13.16
37,RR_05,6,NA,1,small,12.24,27.54,15.3
38,RR_05,7,NA,1,small,12.24,34.46,22.22
39,RR_05,8,NA,1,small,12.24,27.74,15.5
40,RR_06,1,NA,1,small,12.24,13.11,0.87
41,RR_06,2,NA,1,small,12.24,12.49,0.25
42,RR_06,3,NA,1,small,12.24,91.51,79.27
43,RR_06,4,NA,1,small,12.24,30.72,18.48
44,RR_06,5,NA,1,small,12.24,62.08,49.84
45,RR_06,6,NA,1,small,12.24,56.91,44.67
46,RR_06,7,NA,1,small,12.24,30.09,17.85
47,RR_06,8,NA,1,small,12.24,14.02,1.78
48,RR_07,1,NA,1,small,12.24,49.03,36.79
49,RR_07,2,NA,1,small,12.24,103.41,91.17
50,RR_07,3,NA,1,small,12.24,70.55,58.31
51,RR_07,4,NA,1,small,12.24,14.88,2.64
52,RR_07,5,NA,1,small,12.24,119.43,107.19
53,RR_07,6,NA,1,small,12.24,101.02,88.78
54,RR_07,7,NA,1,small,12.24,15.49,3.25
55,RR_07,8,NA,1,small,12.24,20.2,7.96
56,Lola_01,1,NA,1,small,12.24,24.19,11.95
57,Lola_01,2,NA,1,small,12.24,230.9,218.66
58,Lola_01,3,NA,1,small,12.24,18.07,5.83
59,Lola_01,4,NA,1,small,12.24,56.71,44.47
60,Lola_01,5,NA,1,small,12.24,14.23,1.99
61,Lola_01,6,NA,1,small,12.24,41.47,29.23
62,Lola_01,7,NA,1,smallandlarge,57.1,168.92,111.82
63,Lola_01,8,NA,1,small,12.24,100.27,88.03
64,Lola_02,2,NA,1,small,12.24,27.46,15.22
65,Lola_02,3,NA,1,small,12.24,83.94,71.7
66,Lola_02,4,NA,1,small,12.24,23.18,10.94
67,Lola_02,5,NA,1,small,12.24,30.06,17.82
68,Lola_02,6,NA,1,small,12.24,13.18,0.94
69,Lola_02,7,NA,1,small,12.24,19.4,7.16
70,Lola_02,8,NA,1,small,12.24,24.61,12.37
71,Lola_03,1,NA,1,small,12.24,75.31,63.07
72,Lola_03,2,NA,1,small,12.24,195.37,183.13
73,Lola_03,7,NA,1,small,12.24,21.26,9.02
74,Lola_03,8,NA,1,small,12.24,14.1,1.86
75,Lola_04,1,NA,1,small,12.24,26.87,14.63
76,Lola_04,2,NA,1,small,12.24,47.61,35.37
77,Lola_04,3,NA,1,large,44.86,374.92,330.06
78,Lola_04,4,NA,1,large,44.86,274.25,229.39
79,Lola_04,5,NA,1,large,44.86,241.66,196.8
80,Lola_04,6,NA,1,small,12.24,84.34,72.1
81,Lola_04,7,NA,1,large,44.86,124.76,79.9
82,Lola_04,8,NA,1,small,12.24,135.45,123.21
83,Lola_05,1,NA,1,small,12.24,200.25,188.01
84,Lola_05,2,NA,1,small,12.24,46.41,34.17
85,Lola_05,3,NA,1,large,44.86,250.89,206.03
86,Lola_05,4,NA,1,small,12.24,59.44,47.2
87,Lola_05,5,NA,1,large,44.86,414.31,369.45
88,Lola_05,6,NA,1,small,12.24,97.18,84.94
89,Lola_05,7,NA,1,large,44.86,193.22,148.36
90,Lola_05,8,NA,1,large,44.86,302.27,257.41
91,Lola_06,2,NA,1,small,12.24,28.3,16.06
92,Lola_06,4,NA,1,small,12.24,29.49,17.25
93,Lola_06,5,NA,1,small,12.24,20.6,8.36
94,Lola_06,6,NA,1,small,12.24,19.77,7.53